name,2022/10/23,2022/10/22,2022/10/21,2022/10/20,2022/10/19,2022/10/18,2022/10/17,2022/10/16,2022/10/15,2022/10/14,2022/10/13,2022/10/12,2022/10/11,2022/10/10,2022/10/09,2022/10/08
A powdered wig,25,30,26,26,17,38,21,75,13,33,23,25,45,15,18,15
Abyssal ashes,49429,12727,42531,17934,25112,48023,24501,41421,8833,45783,27831,49429,18635,21411,47147,33105
Abyssal bludgeon,1322,436,878,708,571,1466,763,1031,402,646,917,1322,655,616,1014,920
Abyssal bracelet(5),158943,52345,137602,77389,73517,170072,85610,112734,34946,80928,106652,158943,80801,79082,114975,97173
Abyssal dagger,568,175,373,301,209,521,299,336,161,271,355,568,264,292,412,345
Abyssal dagger (p),29,5,20,16,8,44,17,21,6,20,17,29,11,15,21,30
Abyssal dagger (p+),36,5,16,16,8,29,15,16,11,13,21,36,12,9,10,12
Abyssal dagger (p++),1287,437,1011,802,546,1557,760,1060,409,695,1051,1287,713,672,1043,963
Abyssal whip,7094,2395,4779,4014,2912,8070,4488,5368,1935,3213,5368,7094,3337,3424,5464,4683
Achey tree logs,6637,865,4410,6137,852,3246,9828,4841,891,1619,7040,6637,2352,3420,16377,9870
Acorn,56031,18876,42386,41343,21475,55237,31900,46180,12611,35915,52374,56031,24481,31503,45161,27810
Adamant 2h sword,18247,4582,13524,13869,6434,16532,8923,9780,3308,9086,9626,18247,8296,8247,14109,13127
Adamant arrow,16861098,4684140,13809974,10019301,6385526,16903511,8476419,11119392,3325151,7740372,11822990,16861098,7117666,7295396,12290533,10221423
Adamant arrow(p),1185,264,1032,83,88,1303,2055,935,401,856,2159,1185,25,130,1607,3083
Adamant arrow(p+),468,0,0,3465,1400,11600,0,600,1401,2143,16669,468,702,504,660,189
Adamant arrow(p++),192688,68331,272459,122863,93373,243695,66764,142122,28040,63624,61450,192688,98821,34699,157701,81735
Adamant arrowtips,1381675,265925,1179172,712803,463090,1388653,663938,903478,305995,700161,935444,1381675,436086,600632,981904,958141
Adamant axe,7673,3661,6918,4299,3168,7244,4344,6881,2517,3493,5507,7673,4468,3344,4805,4648
Adamant battleaxe,16666,6296,10089,8420,6117,18846,7075,14760,4552,8247,12282,16666,9733,7749,11289,9096
Adamant bolts,3484739,1210334,2435438,2079057,1446661,3279376,2023282,2145941,684507,1465360,2295061,3484739,1458932,1521409,2543584,2304119
Adamant bolts (p),2064,737,3236,3244,1422,5661,5365,1432,5900,5504,711,2064,211,1084,1117,1939
Adamant bolts (p+),197,551,868,60,1100,4795,335,218,1835,1,0,197,8,531,777,9
Adamant bolts (p++),16680,936,4251,3175,370,5027,657,3092,650,604,4262,16680,633,4760,6151,5958
Adamant bolts(unf),1199220,698834,1591040,1236558,840940,1456146,597027,1050809,338340,410723,661533,1199220,613403,813064,1239861,1042972
Adamant boots,1457,320,869,738,344,1125,641,1874,291,666,1237,1457,1371,622,1088,1165
Adamant brutal,148637,66017,83425,108501,49661,145248,96269,109433,45326,88897,93390,148637,83458,56417,121248,109620
Adamant cane,79,11,29,49,21,62,40,47,14,29,59,79,34,18,42,43
Adamant chainbody,7523,1877,3572,4188,2267,7271,3442,7138,1765,3253,4819,7523,2506,2942,6727,4477
Adamant claws,24,2,22,2,3,34,4,13,1,7,11,24,1,6,176,33
Adamant crossbow,1696,227,591,793,387,820,406,947,415,777,877,1696,389,376,611,470
Adamant crossbow (u),93,93,95,50,338,57,79,422,11,158,44,93,116,142,108,254
Adamant dagger,6674,2286,2871,3808,3152,8743,3537,6007,3041,2176,6332,6674,2553,1654,3361,5075
Adamant dagger(p),0,4,12,2,7,2,0,0,125,0,1,0,1,0,1,4
Adamant dagger(p+),2,1,1,1,0,0,0,1,0,0,0,2,0,0,2,1
Adamant dagger(p++),16,3,13,6,3,17,4,8,1,5,5,16,9,2,7,6
Adamant dart,21698261,7836260,18917915,13084664,8408297,22187049,11687295,16583609,5437674,10494062,14940988,21698261,11197761,11199502,17583885,16033932
Adamant dart tip,12485137,5163332,10426993,8765742,5336084,14032979,7296688,8588087,3525189,6282098,8750668,12485137,6494104,6451322,10548535,7952441
Adamant dart(p),78119,33923,81621,56284,27188,67693,56904,62135,9882,29707,33863,78119,25376,18435,28132,28174
Adamant dart(p+),1000,708,111,116,9911,600,1500,1412,5,47,99,1000,10,395,28,0
Adamant dart(p++),10299,9579,12476,2001,5012,12022,8708,2021,5,2274,6532,10299,7923,2625,2400,1417
Adamant dragon mask,31,6,21,14,9,30,14,41,4,14,22,31,15,6,16,34
Adamant full helm,27283,7587,21567,14139,9709,26596,15712,19139,6093,15290,21761,27283,8479,9750,21480,20473
Adamant full helm (g),248,133,174,192,90,211,124,182,55,64,229,248,83,111,189,113
Adamant full helm (t),126,55,83,82,51,95,57,59,23,56,91,126,58,39,79,74
Adamant gold-trimmed set (lg),175,100,132,100,53,162,70,101,52,107,142,175,87,58,162,135
Adamant gold-trimmed set (sk),31,6,28,10,6,22,12,25,5,12,15,31,29,18,34,30
Adamant halberd,208,84,180,136,85,309,123,146,57,104,161,208,125,100,155,214
Adamant hasta,101,27,91,50,54,202,57,40,19,55,157,101,31,199,196,242
Adamant hasta(p),278,0,0,0,0,0,0,0,0,0,0,278,0,100,8,0
Adamant hasta(p+),144,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0
Adamant hasta(p++),0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0
Adamant helm (h1),144,103,256,71,34,84,44,146,16,49,67,144,52,39,232,45
Adamant helm (h2),538,19,40,37,86,150,252,38,8,26,73,538,97,681,67,51
Adamant helm (h3),71,21,50,56,29,59,31,33,13,24,53,71,35,68,49,36
Adamant helm (h4),116,16,45,47,18,62,28,71,10,51,103,116,156,30,70,35
Adamant helm (h5),2802,32,53,28,22,69,53,81,13,34,4873,2802,35,54,34,66
Adamant javelin,198601,49420,142712,105029,98544,193593,100010,138719,32351,90720,161079,198601,105008,82488,136662,114207
Adamant javelin heads,20724,11148,10722,9442,5870,33210,8820,9307,3516,7092,23548,20724,14134,8895,11883,10807
Adamant javelin(p),0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
Adamant javelin(p+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamant javelin(p++),80,0,0,0,0,0,0,0,0,0,15,80,0,0,0,0
Adamant kiteshield,21559,7115,12539,10077,6318,22780,14797,14976,5709,7703,13952,21559,7433,7888,17523,12070
Adamant kiteshield (g),222,82,145,160,81,173,85,180,60,95,173,222,111,100,154,103
Adamant kiteshield (t),160,46,101,69,35,285,61,165,22,46,98,160,79,64,58,64
Adamant knife,19228,11615,13169,16711,29863,39467,19237,32304,8703,7436,23377,19228,15946,21293,24425,9855
Adamant knife(p),10,1,0,0,4,10,0,550,0,0,0,10,0,0,0,14
Adamant knife(p+),46,0,94,0,1,92,0,10,0,0,0,46,0,9,0,162
Adamant knife(p++),948,69,0,358,52,424,0,706,114,82,144,948,0,2435,1067,82
Adamant longsword,3835,1263,3819,2533,1572,5388,3075,3460,2317,5609,3496,3835,1539,3781,5142,4844
Adamant mace,2881,690,2419,1128,857,2696,1311,3143,946,1365,1451,2881,2829,784,2212,3394
Adamant med helm,4722,884,3413,2414,997,4653,3344,3027,966,1159,1820,4722,3115,1104,1902,1626
Adamant pickaxe,3398,1134,2789,2528,1468,4078,1888,2647,728,1860,3435,3398,1513,1661,3106,2568
Adamant platebody,403966,194834,304404,234428,162036,441687,212668,345747,130168,212406,356156,403966,284798,241151,347038,284488
Adamant platebody (g),199,80,152,153,69,206,118,218,81,151,131,199,100,101,166,123
Adamant platebody (h1),58,19,44,37,23,59,23,48,7,38,52,58,30,26,34,35
Adamant platebody (h2),55,18,31,29,16,51,21,49,11,28,71,55,39,33,44,29
Adamant platebody (h3),58,13,42,36,18,69,28,41,15,37,38,58,24,21,50,28
Adamant platebody (h4),99,23,24,32,21,65,22,41,10,47,61,99,43,29,41,34
Adamant platebody (h5),102,16,40,61,19,75,39,50,12,34,78,102,40,29,66,51
Adamant platebody (t),113,22,76,50,51,95,58,214,20,61,97,113,81,41,69,71
Adamant platelegs,21398,6799,16654,16811,8149,25802,11878,14477,4907,13243,19307,21398,8959,9991,15976,15825
Adamant platelegs (g),177,46,179,138,62,142,95,168,48,103,180,177,71,79,159,81
Adamant platelegs (t),106,25,78,58,26,96,111,103,15,43,164,106,49,39,75,58
Adamant plateskirt,5610,589,3269,1023,811,1903,921,1018,303,711,2321,5610,851,900,935,1867
Adamant plateskirt (g),97,78,56,68,34,79,40,58,15,42,72,97,30,37,47,57
Adamant plateskirt (t),65,18,77,31,28,62,28,39,13,25,54,65,20,21,33,42
Adamant scimitar,4756,2054,9085,4405,3223,8416,3455,10249,1926,3251,6776,4756,4019,2881,4606,4480
Adamant set (lg),647,268,494,465,264,719,389,515,148,369,574,647,398,404,786,542
Adamant set (sk),32,40,50,42,35,76,27,45,22,32,56,32,22,0,16,22
Adamant shield (h1),63,20,35,43,26,65,32,44,21,38,724,63,44,26,62,45
Adamant shield (h2),45,19,35,47,21,209,147,148,46,99,50,45,21,23,35,25
Adamant shield (h3),63,16,29,28,16,64,39,36,14,112,65,63,61,26,98,42
Adamant shield (h4),83,16,35,39,15,62,32,44,12,27,63,83,28,31,45,30
Adamant shield (h5),51,20,29,33,30,62,33,28,12,32,73,51,33,29,25,50
Adamant spear,929,399,1678,1538,740,2173,2064,3049,427,1046,2885,929,294,653,992,787
Adamant spear(p),615,227,780,276,269,1292,1461,456,228,335,2401,615,269,315,339,563
Adamant spear(p+),0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Adamant spear(p++),1,1,3,2,1,1,1,2,2,2,0,1,1,1,0,0
Adamant sq shield,3313,913,3011,2827,1527,4874,2356,3416,670,2384,1963,3313,1393,1266,2977,2171
Adamant sword,4538,613,1835,1696,1386,1861,977,800,224,823,5188,4538,1050,615,1793,822
Adamant thrownaxe,23,20,1,0,100,50,0,54,3,0,0,23,86,0,217,0
Adamant trimmed set (lg),23,25,60,40,22,89,59,54,10,19,18,23,15,19,44,41
Adamant trimmed set (sk),0,2,0,0,0,0,0,2,0,0,0,0,0,3,6,4
Adamant warhammer,2446,990,3667,1406,1039,7014,2671,1654,433,1380,2158,2446,1118,1767,6512,4739
Adamantite bar,7488664,2503878,5923808,3911916,2926058,7723746,3500746,4766818,1764006,3259484,4346994,7488664,3126448,3177004,5155087,4618611
Adamantite limbs,323,2,59,100,13,0,55,130,0,9,10,323,9,301,35,12
Adamantite nails,147887,18738,77922,79521,53447,135858,79832,106720,36555,188958,112853,147887,57511,25620,97780,70464
Adamantite ore,6581664,2194164,4749732,3396727,2528961,6748091,3520534,4323253,1529244,2875566,4109124,6581664,2821559,3011521,4412721,3626963
Admiral pie,41024,6342,18081,16536,9239,40487,19911,20186,10931,14294,16814,41024,20686,8278,33275,32099
Afro,28,13,14,27,8,34,14,20,9,12,26,28,18,14,19,34
Agility mix(1),1,0,2,3,1,1,0,1,0,0,4,1,2,1,2,1
Agility mix(2),121,55,83,127,19,1109,28,207,14,3,16,121,460,85,1002,8
Agility potion(1),351,90,923,694,80,715,263,3498,30,102,905,351,117,129,59,911
Agility potion(2),711,11,2106,139,29,247,29,60,25,17,274,711,8,14,33,26
Agility potion(3),4547,1255,6066,2462,740,4551,2681,2010,620,987,1838,4547,2948,944,3934,1859
Agility potion(4),12846,3392,7568,4851,5768,8694,6856,7763,6294,4712,10276,12846,6693,5233,9237,7046
Ahrim's armour set,299,124,245,195,159,397,216,301,102,217,302,299,204,203,289,285
Ahrim's hood,892,275,664,549,423,993,495,723,228,413,705,892,444,424,599,581
Ahrim's hood 0,106,46,65,64,58,107,54,87,31,54,99,106,72,69,82,74
Ahrim's robeskirt,2601,759,1681,1371,1126,2771,1536,1877,689,1207,1800,2601,1280,1207,2023,1705
Ahrim's robeskirt 0,307,114,224,162,140,338,142,237,77,154,208,307,126,119,200,159
Ahrim's robetop,2394,742,1677,1373,1084,2809,1517,1846,722,1140,1786,2394,1244,1197,1991,1598
Ahrim's robetop 0,292,91,220,161,127,333,140,232,83,149,204,292,115,111,191,158
Ahrim's staff,1281,443,1168,948,655,1624,708,1044,380,788,1044,1281,601,699,879,888
Ahrim's staff 0,570,183,345,376,242,541,226,284,100,266,381,570,255,241,297,316
Air battlestaff,3356767,1276282,2572737,2102828,1485899,3638670,1660814,2537694,1019562,1835555,2775004,3356767,1681056,1958343,3088269,2389103
Air orb,12314074,1575446,4329821,3760011,2453028,6412601,3070818,5361016,2183276,2158188,3877296,12314074,5574337,6246747,8916885,6154605
Air rune,128071773,44606702,92794523,70045068,56095957,153509209,65622759,96081749,31143820,64798511,104331628,128071773,57689032,51837528,102589180,91041341
Air talisman,33721,54814,164346,68620,10577,77463,17240,82902,32227,18074,102251,33721,31623,25006,42149,50848
Air tiara,7723,2094,6543,2854,689,6841,3686,1625,776,1662,4588,7723,3813,4326,5999,4297
Airtight pot,150,48,73,41,61,246,105,213,49,34,74,150,48,51,81,48
Ale of the gods,176,61,111,88,84,164,96,136,32,89,94,176,70,70,135,78
Ale yeast,880,677,357,581,121,1175,668,1047,361,664,347,880,629,203,496,429
Amethyst,844792,232747,599445,447663,290105,766390,466160,639229,187577,307622,494807,844792,377827,398314,578590,373817
Amethyst arrow,7166905,3047690,6232460,4656239,3316026,8224441,4644806,7087467,2132055,3732070,5074451,7166905,3498095,3874099,6166172,4224803
Amethyst arrow(p),31140,22765,34963,28658,11574,22964,19745,25459,13526,21370,26133,31140,22989,9773,46399,40197
Amethyst arrow(p+),5040,6532,9184,7085,1752,5851,2235,3650,1329,1434,1606,5040,1657,2021,2145,5029
Amethyst arrow(p++),48180,16989,33043,34034,26485,57798,29063,36350,15043,30068,79919,48180,13795,53613,25585,33372
Amethyst arrowtips,2394645,1270499,3572950,2742973,1798196,5156320,2872637,3068685,1359964,956868,2321468,2394645,1048204,1120095,2314107,1526578
Amethyst bolt tips,492862,142647,180166,129940,93029,247150,91709,157898,38191,63895,327561,492862,143590,141824,571387,164044
Amethyst broad bolts,1108558,447612,857949,680032,507226,1310183,657556,922309,380783,557113,812256,1108558,507205,666326,875965,727863
Amethyst dart,12285685,3785816,8526721,6794630,4394131,12680967,6850420,8855249,3738680,5558802,9210748,12285685,6365666,5810980,8981244,8264411
Amethyst dart tip,6845888,1676496,4456518,3282743,2299083,6173594,3225397,5312695,1388563,3542313,4611876,6845888,3253247,3216186,5205997,4064864
Amethyst dart(p),2845,33,3141,186,129,2220,410,1483,460,238,1980,2845,0,1200,1,519
Amethyst dart(p+),111,0,2,415,1001,2,0,0,0,0,517,111,15,1216,135,10
Amethyst dart(p++),14515,45,12043,135,13,65,3842,1009,637,741,3240,14515,4466,28250,2715,290
Amethyst javelin,30508,8109,14250,9249,17948,43012,16207,14359,11229,31321,58694,30508,13483,29681,24719,15199
Amethyst javelin heads,31008,5219,26520,5949,11906,10702,283,6879,3127,26213,13402,31008,3289,23378,26424,3282
Amethyst javelin(p),65,0,0,0,0,6,0,0,0,0,1,65,0,0,0,0
Amethyst javelin(p+),0,50,34,0,55,4,0,118,0,0,0,0,0,5,5,0
Amethyst javelin(p++),230,0,5,0,0,0,0,42,20,0,65,230,0,289,202,499
Amulet mould,1050,415,671,604,573,1030,373,1021,320,512,661,1050,535,315,648,555
Amulet of accuracy,884,309,678,501,375,912,407,624,260,469,618,884,418,394,871,548
Amulet of avarice,4181,1576,3386,2524,1539,4250,2452,3515,1086,1915,2720,4181,2131,2075,3416,2864
Amulet of bounty,868,132,811,537,167,549,401,567,1255,435,1350,868,686,758,450,1333
Amulet of chemistry,93717,26019,64474,46397,39558,77744,46159,66177,23541,38843,63172,93717,51449,40103,55223,57176
Amulet of defence,40841,11208,24130,22487,15680,41452,29164,46315,8248,18194,39840,40841,22532,24784,31172,24113
Amulet of defence (t),140,47,111,77,41,120,69,99,43,51,84,140,75,77,74,84
Amulet of eternal glory,101,38,71,61,47,129,82,86,30,79,81,101,48,82,89,80
Amulet of fury,7210,2854,5689,4406,3002,8092,4609,5874,2315,3736,5732,7210,3671,4012,5979,5122
Amulet of glory,175085,42356,110969,108228,61751,149618,77881,107470,34702,58857,99633,175085,91648,91603,155658,112366
Amulet of glory (t4),81,24,48,46,31,118,40,53,22,36,46,81,26,18,45,38
Amulet of glory (t6),202,68,133,95,54,179,68,87,41,82,116,202,123,59,150,174
Amulet of glory (t),133,26,65,82,38,138,71,109,55,64,64,133,61,59,87,62
Amulet of glory(4),17072,3567,9622,8076,5462,13851,5504,10355,3013,7359,9182,17072,6594,8269,12058,7986
Amulet of glory(6),207686,51208,126308,111143,71998,179100,95337,127967,41834,67773,123992,207686,116552,100775,174468,135317
Amulet of magic,22677,6863,20842,15856,11237,22580,16838,30224,8826,9497,16296,22677,12352,15638,20665,9781
Amulet of magic (t),275,106,221,221,159,357,203,321,82,132,182,275,132,108,181,150
Amulet of power,73051,32958,69125,67710,47579,90203,56864,65615,12418,34472,68516,73051,35528,45512,65802,49277
Amulet of power (t),187,63,110,100,105,233,108,164,45,92,126,187,101,66,134,116
Amulet of strength,88003,51432,72752,76364,43062,104142,61895,86451,20173,49564,87550,88003,50176,62368,77244,51373
Amulet of the damned (full),1192,460,1220,563,746,2128,1030,1045,397,839,1265,1192,533,739,1059,1114
Amulet of torture,6685,2299,5235,4227,3207,7641,4189,5735,2141,3513,5125,6685,3272,3478,5796,4569
Amylase crystal,4362551,1225714,2945301,1979645,1317174,2938396,1522992,3177620,878165,1725478,3226633,4362551,1737749,2014812,3157951,2455230
Ancestral hat,1072,355,718,568,424,1224,662,919,318,549,823,1072,616,597,905,788
Ancestral robe bottom,764,252,577,466,292,880,465,641,236,390,575,764,386,472,662,556
Ancestral robe top,745,269,553,442,292,813,455,634,248,387,529,745,380,445,658,553
Ancestral robes set,143,60,124,86,71,184,97,119,49,81,130,143,71,114,146,109
Anchovies,33783,24414,258747,118826,144742,82505,22487,87497,37612,72219,109370,33783,21145,20997,69265,30251
Anchovy pizza,126831,66336,113428,60399,58197,168418,87027,100714,47451,72671,129804,126831,63208,70939,111094,69980
Ancient blessing,908,374,742,536,409,977,498,803,279,507,715,908,417,424,983,678
Ancient bracers,333,105,265,208,133,395,219,260,108,169,257,333,208,152,270,226
Ancient brew(1),291,17,15,12,2448,26,45,1946,3,7,1840,291,13,3,206,12
Ancient brew(2),80,5,618,30,9,56,99,31,8,11,625,80,13,18,25,29
Ancient brew(3),24668,18,43221,22732,18761,12484,1142,15832,14119,33136,24070,24668,15213,34950,52726,4929
Ancient brew(4),83772,22161,66571,86345,54633,117185,38043,64021,24774,70986,75504,83772,46481,40870,69969,53605
Ancient ceremonial boots,227,78,172,110,103,233,98,170,66,104,125,227,97,106,183,259
Ancient ceremonial gloves,257,71,133,120,75,252,141,142,58,96,131,257,123,94,291,164
Ancient ceremonial legs,278,87,180,133,104,299,141,196,63,149,181,278,94,124,188,263
Ancient ceremonial mask,291,80,203,150,102,311,218,229,148,122,171,291,128,207,239,197
Ancient ceremonial top,297,61,175,125,87,300,136,211,76,126,191,297,104,177,186,205
Ancient chaps,881,276,634,521,334,999,477,761,188,392,606,881,481,474,744,578
Ancient cloak,367,107,328,268,194,548,164,281,73,167,251,367,173,148,262,311
Ancient coif,467,180,375,299,216,657,419,529,151,299,372,467,235,271,449,358
Ancient crozier,93,52,95,77,45,118,63,85,28,66,95,93,47,53,71,80
Ancient crystal,1463,442,1139,759,987,1715,692,1102,702,847,849,1463,1213,692,1186,851
Ancient d'hide body,797,321,745,525,340,1005,560,779,247,443,534,797,488,473,649,588
Ancient d'hide boots,921,296,530,525,333,955,530,629,237,420,538,921,448,448,654,596
Ancient d'hide shield,68,44,71,41,25,96,47,75,22,35,45,68,40,34,81,64
Ancient dragonhide set,117,34,79,68,46,131,81,87,32,59,78,117,62,56,100,111
Ancient effigy,398,133,311,224,163,354,185,275,86,209,200,398,191,182,279,227
Ancient emblem,4025,1182,2844,2072,1389,4037,2065,3267,1094,1914,2539,4025,2014,1657,3264,2877
Ancient full helm,161,80,126,105,73,157,80,100,36,119,116,161,83,100,165,119
Ancient godsword,606,226,470,401,298,806,314,583,188,348,516,606,336,309,479,427
Ancient hilt,8,6,8,4,6,20,4,13,2,7,8,8,6,10,5,6
Ancient kiteshield,221,69,157,96,72,191,99,170,60,128,161,221,88,92,153,130
Ancient mace,381,70,143,132,112,312,147,279,204,133,297,381,136,149,265,147
Ancient medallion,369,148,259,223,133,382,198,310,113,146,221,369,179,174,303,249
Ancient mitre,360,125,267,227,122,463,218,291,87,180,244,360,197,166,246,238
Ancient mix(1),0,0,3650,2846,0,0,0,0,0,1,1,0,0,1,0,0
Ancient mix(2),5,0,1,1,0,5,0,0,0,0,0,5,0,0,0,0
Ancient page 1,490,143,313,241,165,494,261,284,104,196,292,490,217,212,319,281
Ancient page 2,526,126,298,237,139,453,282,343,102,198,342,526,199,189,305,271
Ancient page 3,558,143,287,254,157,430,243,326,100,201,301,558,225,211,345,306
Ancient page 4,488,154,281,265,154,476,241,352,104,225,398,488,223,207,278,243
Ancient platebody,180,51,125,95,76,167,75,119,26,114,111,180,85,74,140,111
Ancient platelegs,136,51,131,89,65,156,94,134,44,106,124,136,73,75,125,97
Ancient plateskirt,174,14,66,33,32,93,45,72,28,44,48,174,40,24,61,53
Ancient relic,357,136,286,194,134,440,209,307,92,172,213,357,240,182,338,240
Ancient robe legs,133,39,90,70,54,161,96,97,26,63,73,133,25,50,64,74
Ancient robe top,151,35,97,60,54,142,68,119,29,58,85,151,40,56,85,87
Ancient rune armour set (lg),324,133,232,159,100,264,152,232,77,150,246,324,195,179,226,294
Ancient rune armour set (sk),47,10,53,62,21,58,31,53,9,45,27,47,46,16,33,43
Ancient staff,3977,1507,3397,2633,2619,5225,2495,3172,1260,2199,3456,3977,2043,2041,3601,2590
Ancient statuette,766,221,526,427,271,741,360,609,213,325,379,766,360,357,610,477
Ancient stole,117,54,116,75,51,160,64,94,59,40,83,117,49,75,144,90
Ancient totem,4086,1242,2987,2283,1535,4280,2241,3612,1089,2085,2759,4086,1992,1924,3303,2832
Ancient wyvern shield,271,95,183,175,95,259,134,200,78,112,195,271,141,143,184,164
Anglerfish,2836809,850357,2156382,1679101,1042075,3083489,1812050,2306205,826249,1455736,1973228,2836809,1516203,1335411,2138616,1883593
Anguish ornament kit,527,161,391,308,209,609,320,453,180,289,389,527,254,281,437,365
Ankou gloves,66,35,66,54,26,75,51,72,25,51,46,66,31,33,43,52
Ankou mask,86,43,92,93,56,98,68,80,32,64,52,86,34,64,69,54
Ankou socks,58,35,59,52,27,59,42,62,24,37,43,58,27,33,50,52
Ankou top,83,64,123,105,71,121,77,96,42,84,76,83,44,67,69,65
Ankou's leggings,77,51,102,85,56,101,54,83,30,60,68,77,39,55,73,64
Annakarl teleport,24133,5079,14064,18497,7664,19327,15545,18111,4997,16692,15420,24133,11105,23982,27413,14971
Anti-dragon shield,50652,19202,39303,27219,17736,35615,29601,49587,11013,31873,47473,50652,26197,26970,39176,27622
Anti-poison supermix(1),4,8,5,12,15,89,8,114,16,109,20,4,8,7,8,4
Anti-poison supermix(2),836,165,2607,578,1793,2314,207,2158,323,150,270,836,217,161,366,740
Anti-venom(1),1633,466,840,1604,590,2049,390,679,129,1471,1096,1633,289,563,8362,645
Anti-venom(2),368,199,1031,661,322,664,529,784,78,209,491,368,199,680,281,393
Anti-venom(3),865,118,559,481,160,530,441,636,1471,827,303,865,387,273,432,455
Anti-venom(4),143306,75575,173125,157011,88413,187987,133062,164943,85867,109148,128632,143306,72589,70832,222894,182473
Anti-venom+(1),14396,6257,17960,6932,9273,22277,14489,15956,5334,12343,12476,14396,9765,7947,14677,13566
Anti-venom+(2),4406,3236,8202,4272,5097,8511,6367,4974,1183,5049,4376,4406,2117,2147,4498,2141
Anti-venom+(3),3277,1335,4998,3374,1549,8235,3325,4117,794,1873,3020,3277,1414,2417,1836,3122
Anti-venom+(4),290766,98744,257156,187994,154942,341404,160339,240341,104423,160833,182695,290766,124088,137344,245622,179577
Antidote+ mix(1),0,0,1,0,1,0,0,0,0,0,0,0,0,2,3882,12
Antidote+ mix(2),162,0,15,0,2,217,0,0,0,100,2,162,0,22,900,1
Antidote+(1),106,577,26,194,1,159,2,109,1,14,108,106,10,33,557,12
Antidote+(2),92,289,23,108,71,130,30,104,43,33,89,92,30,34,22,1
Antidote+(3),1108,45,73,425,246,19,3,134,47,83,8,1108,128,123,35,5
Antidote+(4),4063,664,1217,1253,758,2520,4243,2503,721,1042,1612,4063,1148,586,4524,2081
Antidote++(1),11158,3360,14382,5965,3013,16248,5691,6733,5493,9155,9263,11158,6979,6160,10646,3080
Antidote++(2),792,258,871,640,275,1553,526,477,132,400,491,792,819,412,1366,1072
Antidote++(3),2067,1419,1645,782,814,1751,827,1771,10098,1096,2753,2067,1179,1312,1759,1325
Antidote++(4),441921,212086,344858,236931,180157,429095,217949,332965,125584,200279,319733,441921,161791,167447,331616,272476
Antifire mix(1),27,0,5,4,1,4,10,35,3,3,6,27,43,104,9,5
Antifire mix(2),184,1,2,2,7,98,36,7,1,5,7,184,23,98,81,338
Antifire potion(1),6036,1713,855,757,3321,4973,4193,3084,5416,416,4484,6036,6084,6561,2673,8783
Antifire potion(2),1268,119,520,411,254,3618,469,937,30,190,3074,1268,156,142,140,222
Antifire potion(3),79759,13886,61073,36837,51723,99024,55461,95559,26030,30388,58654,79759,38147,36554,112415,73557
Antifire potion(4),226513,52919,176003,87360,90409,260316,131158,144400,67796,98433,142519,226513,108494,99123,204408,118545
Antipoison mix(1),3,0,3002,1,1,0,3,5,11,5,16,3,1,2,3,1
Antipoison mix(2),946,264,44,22,1,20,15,104,7,14,27,946,5,2,13,20
Antipoison(1),113,46,55,103,38,2135,62,232,103,62,923,113,31,42,851,2177
Antipoison(2),1141,56,58,65,1629,1276,75,338,31,102,312,1141,164,1649,254,105
Antipoison(3),14601,7414,6972,7099,14894,14016,11257,11742,2860,5532,12804,14601,5971,4047,13797,9802
Antipoison(4),27654,16037,17769,15619,14018,26588,16461,15684,8213,9890,21817,27654,14806,14342,19477,14396
Ape atoll teleport,21013,5803,8405,7187,8763,21819,11905,18875,5705,6561,11954,21013,9058,10667,17585,16783
Apple mush,0,0,0,0,0,2,1,0,0,5,0,0,0,1,1,13
Apple pie,18786,16968,21251,57468,40084,18924,5064,10043,1047,6155,11926,18786,9376,16019,8921,25837
Apple sapling,8064,2264,6780,5102,2658,7428,3843,5266,2078,4149,7705,8064,3835,3652,5291,4119
Apple tree seed,28715,8378,16582,16610,10963,26094,15035,19432,9918,10762,21617,28715,17659,11722,18137,15509
Apples(5),49415,16273,37246,25847,20095,46515,34547,37682,15465,35611,39368,49415,22360,19490,54478,35622
Apprentice wand,11,12,15,14,4,24,10,23,3,7,14,11,11,13,18,18
Arcane prayer scroll,417,143,397,272,203,532,261,301,118,220,351,417,234,209,361,320
Arcane sigil,287,108,176,140,115,320,188,236,80,158,199,287,178,156,231,229
Arcane spirit shield,464,138,292,259,205,492,274,366,127,259,347,464,249,303,430,391
Arceuus banner,81,20,110,55,45,85,31,52,7,38,52,81,23,25,45,32
Arceuus hood,31,13,34,11,15,40,19,29,5,28,24,31,21,20,25,40
Arceuus library teleport,5917,1927,8571,7954,3689,16022,3993,14236,3272,3385,8428,5917,3641,5019,9418,5408
Arceuus scarf,21,15,14,13,10,30,14,9,10,10,7,21,15,7,22,21
Archer helm,2180,840,1614,1323,746,2206,1132,1594,512,1364,1712,2180,1091,1236,1606,1527
Archers ring,2877,1057,1940,1627,1188,2919,1679,2128,821,1506,2058,2877,1518,1471,2368,1893
Archery ticket,367170,41522,546518,233689,80192,583197,110326,316102,90180,163139,361843,367170,203093,197797,265381,182539
