name,2022/10/23,2022/10/22,2022/10/21,2022/10/20,2022/10/19,2022/10/18,2022/10/17,2022/10/16,2022/10/15,2022/10/14,2022/10/13,2022/10/12,2022/10/11,2022/10/10,2022/10/09,2022/10/08
Shield left half,1013,391,719,547,514,1146,690,818,256,599,713,1013,567,557,890,653
Shield right half,159,51,92,104,82,159,82,104,28,90,131,159,87,79,142,92
Shortbow,3276,1103,21477,1362,1350,3662,1068,14454,907,1449,2406,3276,2209,6642,31543,2168
Shortbow (u),11846,3374,31906,6945,5358,162596,47470,7869,3431,5629,10648,11846,11107,9238,16693,13928
Shoulder parrot,211,101,93,60,57,164,87,168,40,90,100,211,69,89,125,119
Shrunk ogleroot,240,1,124,239,143,56,20,11,3,66,126,240,50,21,56,54
Sickle mould,40,7,21,17,14,34,11,18,12,22,25,40,16,13,20,28
Silk,63469,12393,25838,8751,4988,15760,9496,13938,7880,5509,10917,63469,8427,53434,29082,38016
Silver bolts,106099,23005,50166,47960,15233,70828,21487,137980,16575,60556,10230,106099,7885,12170,37151,32808
Silver bolts (p),10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Silver bolts (unf),691,14542,45201,31102,0,69770,108120,95110,42500,73910,56910,691,2103,22960,1500,4860
Silver dust,133,280,151,473,82,198,92,671,34,73,211,133,79,4691,107,195
Silver locks,19,6,41,5,5,23,25,15,22,11,14,19,15,17,9,7
Silver ore,5762193,1256061,2587659,2297969,1508263,4357611,2137326,2924772,844589,1896370,2609698,5762193,1677211,1814543,2997807,2052977
