name,price,volume
Team-36 cape,30,134
Team-37 cape,142,211
Team-40 cape,104,194
Team-42 cape,358,97
Team-44 cape,451,5
Team-46 cape,53,339
Team-47 cape,262,175
Team-50 cape,131,412
Teasing stick,1,6857
Teleport card,177,1663
Thatch spar dense,83,140
Thatch spar med,9,104
Thin snail,590,3976
Thread,6,4117027
Tiara mould,145,306
Tin ore,66,183470
Tinderbox,49,38770
Toad's legs,595,60705
Toadflax,3762,770463
Toktz-ket-xil,306843,1266
Toktz-xil-ak,389664,775
Toktz-xil-ul,1467,7164
Tomato seed,1,542249
Tomatoes(5),227,21212
Tome of fire (empty),641076,3183
Tooth half of key,11231,26452
Top hat & monocle,125194,31
Topaz amulet (u),2717,15916
Topaz bolts,291,181624
Topaz bolts (e),10,61467
Topaz dragon bolts,1787,11
Topaz dragon bolts (e),1828,3484
Topaz ring,1819,24
Torag's armour set,618264,172
Torag's hammers,96672,301
Torag's hammers 0,95733,10
Torag's platebody,192727,764
Torag's platebody 0,166557,110
Torag's platelegs 0,163716,421
Tormented ornament kit,2199107,391
Torstol,6170,784484
Torstol potion (unf),6862,33586
Tortoise shell,4344,27
Torture ornament kit,3069412,538
Torva full helm (damaged),174584245,30
Torva platebody (damaged),445180264,18
Torva platelegs (damaged),389888310,11
Toxic staff (uncharged),7864964,1174
Toy cat,3155,433
Toy doll,2040,46
Toy mouse (wound),2646,42
Toy soldier,1812,1
Trailblazer banner,66086,2
Trailblazer boots (t1),16163,2
Trailblazer boots (t3),579022,5
Trailblazer globe,902401,5
Trailblazer graceful ornament kit,148070,316
Trailblazer hood (t1),18009,3
Trailblazer relic hunter (t1) armour set,410835,2
Trailblazer relic hunter (t2) armour set,991749,1
Trailblazer relic hunter (t3) armour set,2504774,13
Trailblazer rug,1836695,4
Trailblazer tool ornament kit,361924,145
Trailblazer top (t2),143107,1
Trailblazer top (t3),1116689,2
Trailblazer trousers (t2),120636,0
Treasonous ring,273185,283
Triangle sandwich,536,1553
Trout,32,510900
Trouver parchment,876089,3261
Tuna and corn,804,2353
Tuna potato,1037,127938
Turquoise hat,332,236
Turquoise robe top,104,19
Twisted banner,178114,5
Twisted blueprints,1812524,39
Twisted boots (t3),340526,12
Twisted bow,1213659332,638
Twisted cane,487796,18
Twisted coat (t2),240505,12
Twisted coat (t3),1354047,27
Twisted hat (t2),138065,10
Twisted relic hunter (t1) armour set,600184,21
Twisted relic hunter (t2) armour set,636210,0
Twisted trousers (t1),39589,10
Twisted trousers (t2),117025,5
Tyrannical ring,895746,193
Tzhaar-ket-em,95876,38
Tzhaar-ket-om,184271,1265
Ugthanki & onion,8,0
Ugthanki kebab,749,5259
Ugthanki meat,362,0
Unblessed symbol,79,13441
Uncharged toxic trident (e),8397667,535
Uncharged trident (e),4664861,30
Uncooked apple pie,488,47127
Uncooked botanical pie,2029,2290
Uncooked dragonfruit pie,1620,38994
Uncooked egg,14,21
Uncut diamond,2878,930779
Uncut emerald,502,1129596
Uncut jade,129,127061
Uncut opal,322,300302
Uncut ruby,1088,1611869
Uncut zenyte,12511966,5
Unfinished broad bolts,58,951397
Unfired bowl,120,1882
Unfired pot,89,338
Unfired pot lid,189,0
Unholy symbol,267,1435
Unicorn horn,221,99086
Unicorn horn dust,255,93876
Unpowered orb,112,10854383
Unpowered symbol,161,1
Unstrung comp bow,1019,2
Unstrung emblem,160,7
Unstrung symbol,90,97538
Uri's hat,10661,27
Urt salt,57,372519
Varrock teleport,430,826367
Veg ball,1486,137
Verac's brassard,220706,519
Verac's brassard 0,166118,352
Verac's flail,167824,491
Verac's helm 0,68922,486
Verac's plateskirt,263753,1592
Vial of blood,7472,220289
Vial of water,4,16224459
Viggora's chainmace (u),11878581,1617
Vodka,315,7938
Volcanic ash,79,2979345
Volcanic whip mix,1338241,91
Vyrewatch shoes,2428,120
War blessing,10554,959
Warrior helm,38779,280
Warrior ring,36829,2540
Water battlestaff,8955,22558
Water rune,5,89766239
Water talisman,281,34957
Waterbirth teleport,874,5350
Watering can,202,7634
Watermelon seed,16,219728
Waterskin(0),42,4736
Waterskin(4),133,42878
Weapon poison,256,13109
Weapon poison(++),3462,14665
Weeds,159,58041
West ardougne teleport,2456,15412
White apron,36,4049
White battleaxe,3891,1
White bead,3535,9456
White boater,3526,107
White boots,2206,512
White cavalier,7185,137
White dagger,202,3
White dagger(p),147,0
White dark bow paint,1512162,16
White elegant blouse,4337,67
White firelighter,109,18064
White full helm,1796,43
White gloves,744,189
White headband,765,102
White lily seed,3079,9950
White longsword,1669,12
White mace,646,0
White med helm,1912,7
White platebody,5137,335
White plateskirt,2954,6
White scimitar,1227,11
White sword,2406,5
White unicorn mask,15074,80
White warhammer,1800,63
Whiteberry seed,7,27037
Wildblood seed,36,265414
Wilderness crabs teleport,30991,6917
Willow bird house,896,3670
Willow blackjack(o),1867,13
Willow branch,1155,7669
Willow comp bow,4062,133
Willow logs,26,2296176
Willow pyre logs,2198,926
Willow roots,48,6031
Willow sapling,592,36984
Willow shortbow,83,15086
Willow stock,3,11
Wizard blizzard,50,51
Wizard boots,177519,986
Wizard hat,179,3925
Woad seed,1,53042
Wolf mask,5098,149
Wolfbone arrowtips,73,5759
Wood camo top,4714,16
Wooden cat,3919,1853
Wooden shield (g),53429,163
Wooden spoon,84,150
Wool,36,34395
Worm crunchies,2682,221
Worm hole,3846,85
Wrath rune,258,8096868
Wrath talisman,350,2548
Wrath tiara,53,500
Wyvern visage,24609715,5
Xerician fabric,723,6381
Xerician top,1267,3459
Yak-hide,149,496
Yanillian seed,2,951157
Yellow bead,1070,3497
Yellow boots,1112,284
Yellow dye,323,5172
Yellow feather,252,26628
Yellow flowers,48,591
Yellow partyhat,4486,1836
Yellow robe bottoms,862,16
Yellow robe top,808,26
Yew logs,206,13338328
Yew longbow,462,11929887
Yew roots,126,5154
Yew sapling,49480,32143
Yew seed,47096,29151
Yew shortbow (u),196,242384
Yew stock,85,176
Zamorak armour set (lg),582079,266
Zamorak armour set (sk),670060,35
Zamorak brew(2),1251,74
Zamorak brew(3),2697,2159
Zamorak chaps,419520,929
Zamorak coif,50289,493
Zamorak crozier,6632,154
Zamorak d'hide boots,413399,804
Zamorak full helm,426574,313
Zamorak godsword,4016670,810
Zamorak godsword ornament kit,91016,61
Zamorak mitre,29487,422
Zamorak mix(2),582,0
Zamorak monk bottom,2838,3984
Zamorak page 1,22958,438
Zamorak page 2,36224,488
Zamorak page 4,23726,514
Zamorak platelegs,55814,201
Zamorak plateskirt,38371,102
Zamorak robe top,170832,245
Zamorak stole,4335,116
Zamorakian spear,9552546,921
Zaryte crossbow,271794465,820
Zenyte,13820312,7
Zenyte amulet (u),14119222,1
Zenyte necklace,16411203,10
Zogre bones,621,1204
Zul-andra teleport,17667,110539
Zulrah's scales,192,115878944
3rd age axe,383656490,5
3rd age bow,792737643,13
3rd age druidic cloak,827673687,5
3rd age druidic robe top,1479525298,1
3rd age full helmet,17549532,24
3rd age kiteshield,29982041,45
3rd age mage hat,10127563,51
3rd age platebody,76501255,48
3rd age plateskirt,65207448,7
3rd age range coif,6610139,56
3rd age range legs,14327569,66
3rd age robe top,56602527,67
3rd age vambraces,5467721,29
