name,price,volume
Axeman's folly,1868,170
Axeman's folly(4),19297,13
Axeman's folly(m4),209732,0
Axeman's folly(m),55180,39
Baby impling jar,2080,9554
Babydragon bones,791,100454
Bag of salt,21,58534
Bagged bluebells,17227,88
Bagged daffodils,11402,33
Bagged dead tree,1502,592
Bagged flower,5816,43
Bagged magic tree,51745,164
Bagged maple tree,16918,1091
Bagged marigolds,11067,13
Bagged nice tree,3300,3065
Bagged oak tree,6467,3458
Bagged plant 1,1468,44543
Bagged plant 2,5920,1263
Bagged plant 3,12885,5167
Bagged roses,16590,272
Bagged sunflower,5726,57
Bagged willow tree,11657,9727
Bagged yew tree,21555,60
Baked potato,203,25781
Ball of wool,25,355843
Ballista limbs,29055,238
Ballista spring,29122,268
Banana,55,627735
Banana sapling,170,5169
Banana stew,21,24
Banana tree seed,3,17091
Bananas(5),296,40060
Bandit's brew,1434,1402
Bandos boots,191780,937
Bandos bracers,48270,341
Bandos chaps,292674,886
Bandos chestplate,29173612,3318
Bandos coif,77678,430
Bandos crozier,5956,101
Bandos d'hide body,138584,883
Bandos d'hide boots,334731,722
Bandos d'hide shield,177826,49
Bandos full helm,21168,247
Bandos godsword,20497240,3241
Bandos godsword ornament kit,3852840,104
Bandos hilt,19641594,139
Bandos mitre,26473,310
Bandos page 1,2479,389
Bandos page 3,2340,363
Bandos platebody,87812,279
Bandos platelegs,38832,99
Bandos plateskirt,37825,78
Bandos robe legs,96011,86
Bandos rune armour set (lg),197287,94
Bandos stole,8729,128
Bandos tassets,24458126,3659
Bandosian components,6156434,36
Barb-tail harpoon,25,244
Barbarian teleport,878,1682
Barbed bolts,86,16629
Bark,82,70690
Barley malt,1158,2289
Barley seed,2,6670259
Barrel,273,304
Barrows teleport,3193,73743
Basalt,645,177108
Basket,1,674863
Bastion potion(1),3357,3900
Bastion potion(2),6569,813
Bastion potion(4),12375,130660
Batta tin,42,61
Battlefront teleport,2459,8468
Battlemage potion(2),5705,17
Battlemage potion(3),7241,146
Battlestaff,7746,4294136
Beanie,10229,20
Bear feet,40451,212
Beer,125,90283
Beer glass,56,128705
Beginner wand,191986,12
Belladonna seed,78,14122
Berserker helm,45629,2103
Berserker necklace ornament kit,7444,126
Berserker ring,2029315,3961
Big bones,213,763951
Big pirate hat,46794,36
Binding necklace,698,114100
Bird house,973,3076
Bird snare,5,23913
Black axe,772,2001
Black battleaxe,460,769
Black beret,21500,38
Black boater,7252,98
Black brutal,430,11
Black cane,6621,35
Black cavalier,15363,105
Black chainbody,1691,388
Black chinchompa,2202,3239725
Black claws,1688,39
Black d'hide body,7369,336339
Black d'hide body (t),12749,63
Black d'hide chaps (g),128277,215
Black d'hide chaps (t),27256,113
Black d'hide shield,18065,3927
Black d'hide vambraces,2257,11453
Black dagger(p),106,71
Black dagger(p+),2963,11
Black dagger(p++),3745,0
Black dart,2130,43
Black dart(p+),26,0
Black dart(p++),54,0
Black desert robe,1294,141
Black desert shirt,749,80
Black dragon mask,57241,202
Black dragonhide,3173,1850233
Black dragonhide set,15241,3112
Black elegant legs,1852,86
Black flowers,61452,35
Black full helm,539,3128
Black full helm (g),128323,70
Black full helm (t),26249,87
Black gold-trimmed set (lg),596389,81
Black halberd,4366,3
Black headband,2241,168
Black helm (h2),6918,34
Black helm (h3),5241,29
Black helm (h4),4768,38
Black helm (h5),5689,106
Black kiteshield (g),128141,88
Black knife,48,236596
Black knife(p),244,0
Black knife(p++),865,20
Black locks,8574,31
Black longsword,312,1117
Black mask,991750,1204
Black mask (10),983332,575
Black nails,2581,1095
Black pickaxe,1289,1582
Black platebody,3405,2505
Black platebody (h2),2688,22
Black platebody (h4),2415,27
